website name,URL
中国石油大学(华东)研究生招生网,http://zs.gs.upc.edu.cn/
地球科学与技术学院网站,http://geori.upc.edu.cn/
石油工程学院网站,https://pe.upc.edu.cn/
化学化工学院网站,http://cce.upc.edu.cn/
机电工程学院网站,https://cmee.upc.edu.cn
储运与建筑工程学院网站,http://cj.upc.edu.cn/
材料科学与工程学院网站,http://mse.upc.edu.cn/
石大山能新能源学院网站,http://ne.upc.edu.cn/
海洋与空间信息学院网站,http://ocean.upc.edu.cn
控制科学与工程学院网站,http://auto.upc.edu.cn/
青岛软件学院、计算机科学与技术学院网站,http://computer.upc.edu.cn/
理学院网站,http://sci.upc.edu.cn/
经济管理学院网站,http://sem.upc.edu.cn/
外国语学院网站,http://sfs.upc.edu.cn/
文法学院网站,http://shl.upc.edu.cn/
马克思主义学院网站,http://szjyb.upc.edu.cn/
体育教学部网站,http://sports.upc.edu.cn/
学硕专业目录, http://zhangzhe.testqcs.com:5000/reader/106
全日制专硕专业目录, http://zhangzhe.testqcs.com:5000/reader/108
招生专业简章, http://zhangzhe.testqcs.com:5000/reader/105
